"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
warning_withdrawal5,blood_results,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant has withdrawn from the study. Do not collect any further data.</span></div>",,,,,,,"[withdrawal_aspect] = '1' OR [withdrawal_aspect] = '2'",,,,,,
warning_no_further_data,blood_results,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant does not want any further data to be collected.</span></div>",,,,,,,"[withdrawal_aspect] = '3'",,,,,,
blooddetails,blood_results,"<div class=""rich-text-field-label""><h2>Blood Results</h2></div>",descriptive,"<div class=""blue""><span style=""font-weight: normal; font-color: blue; font-size: 140%;"">Admission date: [admission_date], </span><span style=""font-weight: normal; font-color: blue; font-size: 140%;"">NHS number: [nhs_number], </span><span style=""font-weight: normal; font-color: blue; font-size: 140%;"">Patient Name: [name]</span></div>",,,,,,,,,,,,,
ph_7_35,blood_results,"<div class=""rich-text-field-label""><p>First result from Admission</p></div>",text,"pH on blood gas",,"If not performed, enter NA",number,6.9,7.6,,,y,,,,,
glucose,blood_results,,text,"Glucose (mg/dL) ",,"If not performed, enter NA",number,0.5,70,,,,,,,,
albumin,blood_results,,text,"Albumin (g/L) ",,"If not performed, enter NA",number,20,45,,,,,,,,
wcc,blood_results,,text,"White cell count (x10<sup>9</sup>/L)",,"Enter 'NA' if not recorded",number,0.5,30,,,y,,,,,
eos,blood_results,,text,"Eosinophils  (x10<sup>9</sup>/L)",,"If not performed, enter NA",,,,,,,,,,,
hb,blood_results,,text,"Haemoglobin (g/L)",,"Enter 'NA' if not recorded",number,50,160,,,y,,,,,
haematocrit,blood_results,,text,"Haematocrit (L/L)",,"Enter 'NA' if not recorded",number,0.2,0.8,,,y,,,,,
pmn,blood_results,,text,"Neutrophils (x10<sup>9</sup>/L)",,"Enter 'NA' if not recorded",number,0.1,30,,,y,,,,,
lymphocytes,blood_results,,text,"Lymphocytes (x10<sup>9</sup>/L)",,"Enter 'NA' if not recorded",number,0.1,10,,,y,,,,,
crp,blood_results,,text,"CRP (mg/dL)",,"Enter 'NA' if not recorded",number,0,300,,,y,,,,,
na_result,blood_results,,text,"Sodium (Na) (mmol/L)",,"Enter 'NA' if not recorded",number,100,160,,,y,,,,,
ur_result,blood_results,,text,"Urea (Ur) (mmol/L)",,"Enter 'NA' if not recorded",number,3,40,,,y,,,,,
egfr,blood_results,,text,"eGFR (ml/min/1.73m<sup>2</sup>)",,"Enter 'NA' if not recorded",number,1,90,,,y,,,,,
sars_cov2_antigen,blood_results,,text,"SARS-CoV-2 Antigens",,,,,,,,,,,,,
ferritin,blood_results,"<div class=""rich-text-field-label""><p>Within 72 hour of admission</p></div>",text,"Ferritin (ng/mL)",,"Enter 'NA' if not recorded",number,10,3000,,,y,,,,,
nt_probnp,blood_results,,text,"NT-proBNP (pg/mL)",,"Enter 'NA' if not recorded",number,100,12000,,,y,,,,,
d_dimer,blood_results,,text,"D-dimer (ug/ml FEU)",,"Enter 'NA' if not recorded",number,0,5,,,y,,,,,
patient_blood_group,blood_results,"At any time (ie any reported result)",radio,"Patient Blood Group","1, A+|2, A-|3, B+|4, B-|5, AB+|6, AB-|7, O+|8, O-|9, Unknown",,,,,,,y,,,,,
warning_declined10,microbiology_results,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant has declined consent to the study. Do not collect any further data.</span></div>",,,,,,,"[consented]= '2' OR [ppc]= '2'",,,,,,
warning_withdrawal6,microbiology_results,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant has withdrawn from the study. Do not collect any further data.</span></div>",,,,,,,"[withdrawal_aspect] ='1' OR [withdrawal_aspect] ='2'",,,,,,
warning_no_further_data2,microbiology_results,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant does not want any further data to be collected.</span></div>",,,,,,,"[withdrawal_aspect] ='3'",,,,,,
microdetails,microbiology_results,"<div class=""rich-text-field-label""><h2>Bacterial/Fungal Microbiology Culture</h2></div>",descriptive,"<div class=""blue"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Admission date: [admission_date], </span><span style=""font-weight: normal; font-color: blue; font-size: 140%;"">NHS number: [nhs_number], </span><span style=""font-weight: normal; font-color: blue; font-size: 140%;"">Patient Name: [name]</span></div>",,,,,,,,,,,,,
microtest_done_1,microbiology_results,,yesno,"Bacterial/Fungal Investigations performed",,,,,,,,y,RH,,,,
microday_1,microbiology_results,,text,"Days from admission to Micro Test 1",,,,,,,[microtest_done_1]=1,,,,,,
micro_test_1,microbiology_results,,radio,"Microbiology Test Type","1, Blood culture|2, Sputum|3, Respiratory swab|4, Pleural fluid|5, Bronchoalveolar lavage|6, Tracheal Aspirate|7, Urinary antigen  - pneumococcus|8, Urinary antigen - legionella",,,,,,[microtest_done_1]=1,y,,,,,
micro_isolates_1,microbiology_results,,radio,"<div class=""rich-text-field-label""><p>Isolates Identified?</p> <p><span style=""font-weight: normal;"">(pathogens only)</span></p></div>","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_1] = '1' or [micro_test_1] = '2' or [micro_test_1] = '3' or [micro_test_1] = '4' or [micro_test_1] = '5' or [micro_test_1] = '6'",y,,,,,
isolate_identified_1,microbiology_results,,checkbox,"Isolate Name","1, Aspergillus | 2, Streptococcus Agalactiae | 3, Candida | 4, Achromobacter Xylosoxidans | 5, Bacteroides | 6, Bacteroides fragilis | 7, Bacteroides ovatus | 8, Bacteroides uniformis | 9, Burholderia cepacia | 10, Citrobacter freundii complex | 11, Citrobacter koseri | 12, Clostridium perfringens | 13, Eggerthella lenta | 14, Enterobacter aerogenes | 15, Enterobacter cloacae | 16, Enterococcus faecalis | 17, Enterococcus faecium | 18, Escherichia coli | 19, Haemophilus influenzae | 20, Haemophilus parainfluenzae | 21, Klebsiella oxytoca | 22, Klebsiella pneumoniae | 23, Morganella morganii | 24, Peptostreptococcus anaerobius | 25, Proteus mirabilis | 26, Pseudomonas aeruginosa | 27, Serratia marcescens | 28, Staphylcoccus aureus | 29, Streptococcus anginosus | 30, Streptococcus pneumoniae | 31, Streptococcus salivarius group | 32, Stenotrophomonas maltophilia | 33, Acinetobacter | 34, Aspergillus niger | 35, Bacillus | 36, Candida albicans | 37, Candida glabrata | 38, Candida tropicalis | 39, Coagulase negative staphylcoccus | 40, Corynebacterium | 41, Enterococcus | 42, Gram positive coccus | 43, Klebsiella | 44, Legionella pneumoniae | 45, MRSA | 46, MSSA | 47, Moraxella catarrhalis | 48, Mycobacterium tuberculosis | 49, Pneumocytis jirovecii | 50, Pseudomonas | 51, Pseudomonas fluorescens | 52, Staphylcoccus | 53, Staphylococcus capitis | 54, Staphylococcus epidermidis | 55, Staphylococcus hominis | 56, Streptococcus | 57, Streptococcus beta-hemolytic | 58, Streptococcus pyogenes | 59, Streptococcus viridans | 60, Yeast | 61, Other",,,,,,"[micro_isolates_1] = '1'",y,,,,,
micro_other_1,microbiology_results,,text,"If other, please specify",,,,,,,"[isolate_identified_1(61)] = '1'",y,,,,,
pn_result_1,microbiology_results,,radio,"Pneumococcal result","1, Not tested/no result|2, Non-typable|3, Serotype obtained",,,,,,"[isolate_identified_1(30)] = 1",y,,,,,
pn_st_1,microbiology_results,,text,Serotype,,,,,,,"[pn_result_1] = 3",y,,,,,
micro_lab_1,microbiology_results,,radio,"Sent to Central Lab","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_1] < 6 and [isolate_identified_1(30)] = '1'",y,,,,,
pen_susceptibility_1,microbiology_results,,checkbox,"Penicillin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_1] = 2 or [pn_result_1] = 3",y,,,,,
septrin_susceptibility_1,microbiology_results,,checkbox,"Co-trimoxazole (Trimethorpim/Sulfamethoxazole) Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_1] = 2 or [pn_result_1] = 3",y,,,,,
doxy_susceptibility_1,microbiology_results,,checkbox,"Doxycycline Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_1] = 2 or [pn_result_1] = 3",y,,,,,
levoflox_suscept_1,microbiology_results,,checkbox,"Levofloxacin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_1] = 2 or [pn_result_1] = 3",y,,,,,
cef_susceptibility_1,microbiology_results,,checkbox,"Ceftriaxone Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_1] = 2 or [pn_result_1] = 3",y,,,,,
pn_uat_result_1,microbiology_results,,radio,"Pneumococcal urinary antigen test result (BinaxNOW)","1, Negative|2, Positive",,,,,,"[micro_test_1] = '7'",y,,,,,
lg_uat_result_1,microbiology_results,,radio,"Legionella urinary antigen test result","1, Negative|2, Positive",,,,,,"[micro_test_1] = '8'",y,,,,,
micro_final_report_1,microbiology_results,,yesno,"Is this the final report?",,,,,,,"[micro_test_1] = '1' or [micro_test_1] = '2' or [micro_test_1] = '3' or [micro_test_1] = '4' or [micro_test_1] = '5' or [micro_test_1] = '6'",y,,,,,
micro_report_header_1,microbiology_results,,descriptive,"<div class=""red"";><i><span style=""font-weight:normal;font-color:red;font-size:112%"">If final report has not been received, mark form as unverified and amend entries if necessary, once the final report is received. ",,,,,,,"[micro_final_report_1] = '0'",,,,,,
microtest_done_2,microbiology_results,,yesno,"Add another?",,,,,,,[microtest_done_1]=1,y,RH,,,,
microday_2,microbiology_results,,text,"Days from admission to Micro Test 2",,,,,,,[microtest_done_2]=1,,,,,,
micro_test_2,microbiology_results,,radio,"Microbiology Test Type","1, Blood culture|2, Sputum|3, Respiratory swab|4, Pleural fluid|5, Bronchoalveolar lavage|6, Tracheal Aspirate|7, Urinary antigen  - pneumococcus|8, Urinary antigen - legionella",,,,,,[microtest_done_2]=1,y,,,,,
micro_isolates_2,microbiology_results,,radio,"<div class=""rich-text-field-label""><p>Isolates Identified?</p> <p><span style=""font-weight: normal;"">(pathogens only)</span></p></div>","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_2] = '1' or [micro_test_2] = '2' or [micro_test_2] = '3' or [micro_test_2] = '4' or [micro_test_2] = '5' or [micro_test_2] = '6'",y,,,,,
isolate_identified_2,microbiology_results,,checkbox,"Isolate Name","1, Aspergillus|2, Streptococcus Agalactiae|3, Candida|4, Achromobacter Xylosoxidans|5, Bacteroides|6, Bacteroides fragilis|7, Bacteroides ovatus|8, Bacteroides uniformis|9, Burholderia cepacia|10, Citrobacter freundii complex|11, Citrobacter koseri|12, Clostridium perfringens|13, Eggerthella lenta|14, Enterobacter aerogenes|15, Enterobacter cloacae|16, Enterococcus faecalis|17, Enterococcus faecium|18, Escherichia coli|19, Haemophilus influenzae|20, Haemophilus parainfluenzae|21, Klebsiella oxytoca|22, Klebsiella pneumoniae|23, Morganella morganii|24, Peptostreptococcus anaerobius|25, Proteus mirabilis|26, Pseudomonas aeruginosa|27, Serratia marcescens|28, Staphylcoccus aureus|29, Streptococcus anginosus|30, Streptococcus pneumoniae|31, Streptococcus salivarius group|32, Stenotrophomonas maltophilia|33, Acinetobacter|34, Aspergillus niger|35, Bacillus|36, Candida albicans|37, Candida glabrata|38, Candida tropicalis|39, Coagulase negative staphylcoccus|40, Corynebacterium|41, Enterococcus|42, Gram positive coccus|43, Klebsiella|44, Legionella pneumoniae|45, MRSA|46, MSSA|47, Moraxella catarrhalis|48, Mycobacterium tuberculosis|49, Pneumocytis jirovecii|50, Pseudomonas|51, Pseudomonas fluorescens|52, Staphylcoccus|53, Staphylococcus capitis|54, Staphylococcus epidermidis|55, Staphylococcus hominis|56, Streptococcus|57, Streptococcus beta-hemolytic|58, Streptococcus pyogenes|59, Streptococcus viridans|60, Yeast|61, Other",,,,,,"[micro_isolates_2] = '1'",y,,,,,
micro_other_2,microbiology_results,,text,"If other, please specify",,,,,,,"[isolate_identified_2(61)] = '1'",y,,,,,
pn_result_2,microbiology_results,,radio,"Pneumococcal result","1, Not tested/no result|2, Non-typable|3, Serotype obtained",,,,,,"[isolate_identified_2(30)] = 1",y,,,,,
pn_st_2,microbiology_results,,text,Serotype,,,,,,,"[pn_result_2] = 3",y,,,,,
micro_lab_2,microbiology_results,,radio,"Sent to Central Lab","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_2] < 6 and [isolate_identified_2(30)] = '1'",y,,,,,
pen_susceptibility_2,microbiology_results,,checkbox,"Penicillin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_2] = 2 or [pn_result_2] = 3",y,,,,,
septrin_susceptibility_2,microbiology_results,,checkbox,"Co-trimoxazole (Trimethorpim/Sulfamethoxazole) Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_2] = 2 or [pn_result_2] = 3",y,,,,,
doxy_susceptibility_2,microbiology_results,,checkbox,"Doxycycline Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_2] = 2 or [pn_result_2] = 3",y,,,,,
levoflox_suscept_2,microbiology_results,,checkbox,"Levofloxacin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_2] = 2 or [pn_result_2] = 3",y,,,,,
cef_susceptibility_2,microbiology_results,,checkbox,"Ceftriaxone Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_2] = 2 or [pn_result_2] = 3",y,,,,,
pn_uat_result_2,microbiology_results,,radio,"Pneumococcal urinary antigen test result (BinaxNOW)","1, Negative|2, Positive",,,,,,"[micro_test_2] = '7'",y,,,,,
lg_uat_result_2,microbiology_results,,radio,"Legionella urinary antigen test result","1, Negative|2, Positive",,,,,,"[micro_test_2] = '8'",y,,,,,
micro_final_report_2,microbiology_results,,yesno,"Is this the final report?",,,,,,,"[micro_test_2] = '1' or [micro_test_2] = '2' or [micro_test_2] = '3' or [micro_test_2] = '4' or [micro_test_2] = '5' or [micro_test_2] = '6'",y,,,,,
micro_report_header_2,microbiology_results,,descriptive,"<div class=""red"";><i><span style=""font-weight:normal;font-color:red;font-size:112%"">If final report has not been received, mark form as unverified and amend entries if necessary, once the final report is received. ",,,,,,,"[micro_final_report_2] = '0'",,,,,,
microtest_done_3,microbiology_results,,yesno,"Add another?",,,,,,,[microtest_done_2]=1,,RH,,,,
microday_3,microbiology_results,,text,"Days from admission to Micro Test 3",,,,,,,[microtest_done_3]=1,,,,,,
micro_test_3,microbiology_results,,radio,"Microbiology Test Type","1, Blood culture|2, Sputum|3, Respiratory swab|4, Pleural fluid|5, Bronchoalveolar lavage|6, Tracheal Aspirate|7, Urinary antigen  - pneumococcus|8, Urinary antigen - legionella",,,,,,[microtest_done_3]=1,y,,,,,
micro_isolates_3,microbiology_results,,radio,"<div class=""rich-text-field-label""><p>Isolates Identified?</p> <p><span style=""font-weight: normal;"">(pathogens only)</span></p></div>","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_3] = '1' or [micro_test_3] = '2' or [micro_test_3] = '3' or [micro_test_3] = '4' or [micro_test_3] = '5' or [micro_test_3] = '6'",,,,,,
isolate_identified_3,microbiology_results,,checkbox,"Isolate Name","1, Aspergillus|2, Streptococcus Agalactiae|3, Candida|4, Achromobacter Xylosoxidans|5, Bacteroides|6, Bacteroides fragilis|7, Bacteroides ovatus|8, Bacteroides uniformis|9, Burholderia cepacia|10, Citrobacter freundii complex|11, Citrobacter koseri|12, Clostridium perfringens|13, Eggerthella lenta|14, Enterobacter aerogenes|15, Enterobacter cloacae|16, Enterococcus faecalis|17, Enterococcus faecium|18, Escherichia coli|19, Haemophilus influenzae|20, Haemophilus parainfluenzae|21, Klebsiella oxytoca|22, Klebsiella pneumoniae|23, Morganella morganii|24, Peptostreptococcus anaerobius|25, Proteus mirabilis|26, Pseudomonas aeruginosa|27, Serratia marcescens|28, Staphylcoccus aureus|29, Streptococcus anginosus|30, Streptococcus pneumoniae|31, Streptococcus salivarius group|32, Stenotrophomonas maltophilia|33, Acinetobacter|34, Aspergillus niger|35, Bacillus|36, Candida albicans|37, Candida glabrata|38, Candida tropicalis|39, Coagulase negative staphylcoccus|40, Corynebacterium|41, Enterococcus|42, Gram positive coccus|43, Klebsiella|44, Legionella pneumoniae|45, MRSA|46, MSSA|47, Moraxella catarrhalis|48, Mycobacterium tuberculosis|49, Pneumocytis jirovecii|50, Pseudomonas|51, Pseudomonas fluorescens|52, Staphylcoccus|53, Staphylococcus capitis|54, Staphylococcus epidermidis|55, Staphylococcus hominis|56, Streptococcus|57, Streptococcus beta-hemolytic|58, Streptococcus pyogenes|59, Streptococcus viridans|60, Yeast|61, Other",,,,,,"[micro_isolates_3] = '1'",,,,,,
micro_other_3,microbiology_results,,text,"If other, please specify",,,,,,,"[isolate_identified_3(61)] = '1'",,,,,,
pn_result_3,microbiology_results,,radio,"Pneumococcal result","1, Not tested/no result|2, Non-typable|3, Serotype obtained",,,,,,"[isolate_identified_3(30)] = 1",,,,,,
pn_st_3,microbiology_results,,text,Serotype,,,,,,,"[pn_result_3] = 3",,,,,,
micro_lab_3,microbiology_results,,radio,"Sent to Central Lab","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_3] < 6 and [isolate_identified_3(30)] = '1'",,,,,,
pen_susceptibility_3,microbiology_results,,checkbox,"Penicillin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_3] = 2 or [pn_result_3] = 3",,,,,,
septrin_susceptibility_3,microbiology_results,,checkbox,"Co-trimoxazole (Trimethorpim/Sulfamethoxazole) Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_3] = 2 or [pn_result_3] = 3",,,,,,
doxy_susceptibility_3,microbiology_results,,checkbox,"Doxycycline Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_3] = 2 or [pn_result_3] = 3",,,,,,
levoflox_suscept_3,microbiology_results,,checkbox,"Levofloxacin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_3] = 2 or [pn_result_3] = 3",,,,,,
cef_susceptibility_3,microbiology_results,,checkbox,"Ceftriaxone Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_3] = 2 or [pn_result_3] = 3",,,,,,
pn_uat_result_3,microbiology_results,,radio,"Pneumococcal urinary antigen test result (BinaxNOW)","1, Negative|2, Positive",,,,,,"[micro_test_3] = '7'",y,,,,,
lg_uat_result_3,microbiology_results,,radio,"Legionella urinary antigen test result","1, Negative|2, Positive",,,,,,"[micro_test_3] = '8'",y,,,,,
micro_final_report_3,microbiology_results,,yesno,"Is this the final report?",,,,,,,"[micro_test_3] = '1' or [micro_test_3] = '2' or [micro_test_3] = '3' or [micro_test_3] = '4' or [micro_test_3] = '5' or [micro_test_3] = '6'",y,,,,,
micro_report_header_3,microbiology_results,,descriptive,"<div class=""red"";><i><span style=""font-weight:normal;font-color:red;font-size:112%"">If final report has not been received, mark form as unverified and amend entries if necessary, once the final report is received. ",,,,,,,"[micro_final_report_3] = '0'",,,,,,
microtest_done_4,microbiology_results,,yesno,"Add another?",,,,,,,[microtest_done_3]=1,,RH,,,,
microday_4,microbiology_results,,text,"Days from admission to Micro Test 4",,,,,,,[microtest_done_4]=1,,,,,,
micro_test_4,microbiology_results,,radio,"Microbiology Test Type","1, Blood culture|2, Sputum|3, Respiratory swab|4, Pleural fluid|5, Bronchoalveolar lavage|6, Tracheal Aspirate|7, Urinary antigen  - pneumococcus|8, Urinary antigen - legionella",,,,,,[microtest_done_4]=1,y,,,,,
micro_isolates_4,microbiology_results,,radio,"<div class=""rich-text-field-label""><p>Isolates Identified?</p> <p><span style=""font-weight: normal;"">(pathogens only)</span></p></div>","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_4] = '1' or [micro_test_4] = '2' or [micro_test_4] = '3' or [micro_test_4] = '4' or [micro_test_4] = '5' or [micro_test_4] = '6'",,,,,,
isolate_identified_4,microbiology_results,,checkbox,"Isolate Name","1, Aspergillus|2, Streptococcus Agalactiae|3, Candida|4, Achromobacter Xylosoxidans|5, Bacteroides|6, Bacteroides fragilis|7, Bacteroides ovatus|8, Bacteroides uniformis|9, Burholderia cepacia|10, Citrobacter freundii complex|11, Citrobacter koseri|12, Clostridium perfringens|13, Eggerthella lenta|14, Enterobacter aerogenes|15, Enterobacter cloacae|16, Enterococcus faecalis|17, Enterococcus faecium|18, Escherichia coli|19, Haemophilus influenzae|20, Haemophilus parainfluenzae|21, Klebsiella oxytoca|22, Klebsiella pneumoniae|23, Morganella morganii|24, Peptostreptococcus anaerobius|25, Proteus mirabilis|26, Pseudomonas aeruginosa|27, Serratia marcescens|28, Staphylcoccus aureus|29, Streptococcus anginosus|30, Streptococcus pneumoniae|31, Streptococcus salivarius group|32, Stenotrophomonas maltophilia|33, Acinetobacter|34, Aspergillus niger|35, Bacillus|36, Candida albicans|37, Candida glabrata|38, Candida tropicalis|39, Coagulase negative staphylcoccus|40, Corynebacterium|41, Enterococcus|42, Gram positive coccus|43, Klebsiella|44, Legionella pneumoniae|45, MRSA|46, MSSA|47, Moraxella catarrhalis|48, Mycobacterium tuberculosis|49, Pneumocytis jirovecii|50, Pseudomonas|51, Pseudomonas fluorescens|52, Staphylcoccus|53, Staphylococcus capitis|54, Staphylococcus epidermidis|55, Staphylococcus hominis|56, Streptococcus|57, Streptococcus beta-hemolytic|58, Streptococcus pyogenes|59, Streptococcus viridans|60, Yeast|61, Other",,,,,,"[micro_isolates_4] = '1'",,,,,,
micro_other_4,microbiology_results,,text,"If other, please specify",,,,,,,"[isolate_identified_4(61)] = '1'",,,,,,
pn_result_4,microbiology_results,,radio,"Pneumococcal result","1, Not tested/no result|2, Non-typable|3, Serotype obtained",,,,,,"[isolate_identified_4(30)] = 1",,,,,,
pn_st_4,microbiology_results,,text,Serotype,,,,,,,"[pn_result_4] = 3",,,,,,
micro_lab_4,microbiology_results,,radio,"Sent to Central Lab","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_4] < 6 and [isolate_identified_4(30)] = '1'",,,,,,
pen_susceptibility_4,microbiology_results,,checkbox,"Penicillin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_4] = 2 or [pn_result_4] = 3",,,,,,
septrin_susceptibility_4,microbiology_results,,checkbox,"Co-trimoxazole (Trimethorpim/Sulfamethoxazole) Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_4] = 2 or [pn_result_4] = 3",,,,,,
doxy_susceptibility_4,microbiology_results,,checkbox,"Doxycycline Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_4] = 2 or [pn_result_4] = 3",,,,,,
levoflox_suscept_4,microbiology_results,,checkbox,"Levofloxacin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_4] = 2 or [pn_result_4] = 3",,,,,,
cef_susceptibility_4,microbiology_results,,checkbox,"Ceftriaxone Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_4] = 2 or [pn_result_4] = 3",,,,,,
pn_uat_result_4,microbiology_results,,radio,"Pneumococcal urinary antigen test result (BinaxNOW)","1, Negative|2, Positive",,,,,,"[micro_test_4] = '7'",y,,,,,
lg_uat_result_4,microbiology_results,,radio,"Legionella urinary antigen test result","1, Negative|2, Positive",,,,,,"[micro_test_4] = '8'",y,,,,,
micro_final_report_4,microbiology_results,,yesno,"Is this the final report?",,,,,,,"[micro_test_4] = '1' or [micro_test_4] = '2' or [micro_test_4] = '3' or [micro_test_4] = '4' or [micro_test_4] = '5' or [micro_test_4] = '6'",y,,,,,
micro_report_header_4,microbiology_results,,descriptive,"<div class=""red"";><i><span style=""font-weight:normal;font-color:red;font-size:112%"">If final report has not been received, mark form as unverified and amend entries if necessary, once the final report is received. ",,,,,,,"[micro_final_report_4] = '0'",,,,,,
microtest_done_5,microbiology_results,,yesno,"Add another?",,,,,,,[microtest_done_4]=1,,RH,,,,
microday_5,microbiology_results,,text,"Days from admission to Micro Test 5",,,,,,,[microtest_done_5]=1,,,,,,
micro_test_5,microbiology_results,,radio,"Microbiology Test Type","1, Blood culture|2, Sputum|3, Respiratory swab|4, Pleural fluid|5, Bronchoalveolar lavage|6, Tracheal Aspirate|7, Urinary antigen  - pneumococcus|8, Urinary antigen - legionella",,,,,,[microtest_done_5]=1,y,,,,,
micro_isolates_5,microbiology_results,,radio,"<div class=""rich-text-field-label""><p>Isolates Identified?</p> <p><span style=""font-weight: normal;"">(pathogens only)</span></p></div>","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_5] = '1' or [micro_test_5] = '2' or [micro_test_5] = '3' or [micro_test_5] = '4' or [micro_test_5] = '5' or [micro_test_5] = '6'",,,,,,
isolate_identified_5,microbiology_results,,checkbox,"Isolate Name","1, Aspergillus|2, Streptococcus Agalactiae|3, Candida|4, Achromobacter Xylosoxidans|5, Bacteroides|6, Bacteroides fragilis|7, Bacteroides ovatus|8, Bacteroides uniformis|9, Burholderia cepacia|10, Citrobacter freundii complex|11, Citrobacter koseri|12, Clostridium perfringens|13, Eggerthella lenta|14, Enterobacter aerogenes|15, Enterobacter cloacae|16, Enterococcus faecalis|17, Enterococcus faecium|18, Escherichia coli|19, Haemophilus influenzae|20, Haemophilus parainfluenzae|21, Klebsiella oxytoca|22, Klebsiella pneumoniae|23, Morganella morganii|24, Peptostreptococcus anaerobius|25, Proteus mirabilis|26, Pseudomonas aeruginosa|27, Serratia marcescens|28, Staphylcoccus aureus|29, Streptococcus anginosus|30, Streptococcus pneumoniae|31, Streptococcus salivarius group|32, Stenotrophomonas maltophilia|33, Acinetobacter|34, Aspergillus niger|35, Bacillus|36, Candida albicans|37, Candida glabrata|38, Candida tropicalis|39, Coagulase negative staphylcoccus|40, Corynebacterium|41, Enterococcus|42, Gram positive coccus|43, Klebsiella|44, Legionella pneumoniae|45, MRSA|46, MSSA|47, Moraxella catarrhalis|48, Mycobacterium tuberculosis|49, Pneumocytis jirovecii|50, Pseudomonas|51, Pseudomonas fluorescens|52, Staphylcoccus|53, Staphylococcus capitis|54, Staphylococcus epidermidis|55, Staphylococcus hominis|56, Streptococcus|57, Streptococcus beta-hemolytic|58, Streptococcus pyogenes|59, Streptococcus viridans|60, Yeast|61, Other",,,,,,"[micro_isolates_5] = '1'",,,,,,
micro_other_5,microbiology_results,,text,"If other, please specify",,,,,,,"[isolate_identified_5(61)] = '1'",,,,,,
pn_result_5,microbiology_results,,radio,"Pneumococcal result","1, Not tested/no result|2, Non-typable|3, Serotype obtained",,,,,,"[isolate_identified_5(30)] = 1",,,,,,
pn_st_5,microbiology_results,,text,Serotype,,,,,,,"[pn_result_5] = 3",,,,,,
micro_lab_5,microbiology_results,,radio,"Sent to Central Lab","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_5] < 6 and [isolate_identified_5(30)] = '1'",,,,,,
pen_susceptibility_5,microbiology_results,,checkbox,"Penicillin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_5] = 2 or [pn_result_5] = 3",,,,,,
